date,result
2015-11-22,0.004542013626040878
2015-11-29,0.004439511653718091
2015-12-06,0.0
2015-12-13,0.0
2015-12-20,
2015-12-27,0.0
2016-01-03,0.005612244897959183
2016-01-10,0.0
2016-01-17,0.0
2016-01-24,
2016-01-31,0.008989952406134321
2016-02-07,
2016-02-14,0.010416666666666666
2016-02-21,0.016563146997929608
2016-02-28,0.0
2016-03-06,0.0049261083743842365
2016-03-13,0.003257328990228013
2016-03-20,0.007473841554559043
2016-03-27,0.004651162790697674
2016-04-03,0.01646264246517518
2016-04-10,0.008771929824561403
2016-04-17,0.0
2016-04-24,0.02247191011235955
2016-05-01,0.0
2016-05-08,0.0010335917312661498
2016-05-15,0.003552397868561279
2016-05-22,0.0024752475247524753
2016-05-29,0.0
2016-06-05,0.0
2016-06-12,0.0
2016-06-19,0.0
2016-06-26,
2016-07-03,0.0
2016-07-10,
2016-07-17,
2016-07-24,
2016-07-31,
2016-08-07,0.03350515463917526
2016-08-14,0.013071895424836602
2016-08-21,0.0
2016-08-28,
2016-09-04,0.0
2016-09-11,0.04
2016-09-18,
2016-09-25,
2016-10-02,
2016-10-09,0.018396846254927726
2016-10-16,0.003933136676499509
2016-10-23,0.0
2016-10-30,0.0036900369003690036
2016-11-06,0.0026109660574412533
2016-11-13,0.02054794520547945
2016-11-20,0.0
2016-11-27,0.05069124423963134
2016-12-04,0.05343511450381679
2016-12-11,0.01006036217303823
2016-12-18,
2016-12-25,0.01824817518248175
2017-01-01,0.010101010101010102
2017-01-08,0.017699115044247787
