Month,Artificial Intelligence: (United States),Machine learning: (United States)
2004-01,61,17
2004-02,63,21
2004-03,51,13
2004-04,68,17
2004-05,45,15
2004-06,46,13
2004-07,32,9
2004-08,37,12
2004-09,47,14
2004-10,45,12
2004-11,53,15
2004-12,51,14
2005-01,43,11
2005-02,38,16
2005-03,35,14
2005-04,39,12
2005-05,32,14
2005-06,30,11
2005-07,26,10
2005-08,29,10
2005-09,34,12
2005-10,33,10
2005-11,37,14
2005-12,32,10
2006-01,24,11
2006-02,29,10
2006-03,31,12
2006-04,27,11
2006-05,26,10
2006-06,20,6
2006-07,16,9
2006-08,17,10
2006-09,26,9
2006-10,25,10
2006-11,25,11
2006-12,20,7
2007-01,19,8
2007-02,19,8
2007-03,23,7
2007-04,22,9
2007-05,21,6
2007-06,18,8
2007-07,20,9
2007-08,17,8
2007-09,23,10
2007-10,22,12
2007-11,21,10
2007-12,18,9
2008-01,18,7
2008-02,20,11
2008-03,21,10
2008-04,21,10
2008-05,18,8
2008-06,17,7
2008-07,13,6
2008-08,13,7
2008-09,21,9
2008-10,19,10
2008-11,18,10
2008-12,20,9
2009-01,19,8
2009-02,18,10
2009-03,18,9
2009-04,22,10
2009-05,16,10
2009-06,19,7
2009-07,15,9
2009-08,22,9
2009-09,20,11
2009-10,21,11
2009-11,19,10
2009-12,25,8
2010-01,20,9
2010-02,20,10
2010-03,18,10
2010-04,19,10
2010-05,17,9
2010-06,17,9
2010-07,13,8
2010-08,13,9
2010-09,18,10
2010-10,20,9
2010-11,20,10
2010-12,17,10
2011-01,18,9
2011-02,21,12
2011-03,20,11
2011-04,20,12
2011-05,17,10
2011-06,15,8
2011-07,14,7
2011-08,18,10
2011-09,21,12
2011-10,27,17
2011-11,27,14
2011-12,21,12
2012-01,17,12
2012-02,16,14
2012-03,17,13
2012-04,20,14
2012-05,17,13
2012-06,15,12
2012-07,13,12
2012-08,14,13
2012-09,16,16
2012-10,20,14
2012-11,17,14
2012-12,15,12
2013-01,14,13
2013-02,17,14
2013-03,17,16
2013-04,16,17
2013-05,16,16
2013-06,14,14
2013-07,12,13
2013-08,13,14
2013-09,18,17
2013-10,18,20
2013-11,18,19
2013-12,16,16
2014-01,20,19
2014-02,17,21
2014-03,18,21
2014-04,20,24
2014-05,19,22
2014-06,16,22
2014-07,16,22
2014-08,19,23
2014-09,21,26
2014-10,22,26
2014-11,23,26
2014-12,24,23
2015-01,25,27
2015-02,25,29
2015-03,27,30
2015-04,26,36
2015-05,33,29
2015-06,25,32
2015-07,34,33
2015-08,25,33
2015-09,31,40
2015-10,29,40
2015-11,31,42
2015-12,29,36
2016-01,32,38
2016-02,29,41
2016-03,33,45
2016-04,32,48
2016-05,29,47
2016-06,28,48
2016-07,22,39
2016-08,22,47
2016-09,30,53
2016-10,42,59
2016-11,36,58
2016-12,38,57
2017-01,36,64
2017-02,39,75
2017-03,44,79
2017-04,45,81
2017-05,46,84
2017-06,39,85
2017-07,41,78
2017-08,47,80
2017-09,55,86
2017-10,60,97
2017-11,63,95
2017-12,54,84
2018-01,76,88
2018-02,59,97
2018-03,57,98
2018-04,59,100
2018-05,54,99
2018-06,46,96
2018-07,40,87
2018-08,39,95
2018-09,49,98
